SH, 21, 1953041500,   , BEST,   0, 109S, 1415E,-999
SH, 21, 1953041506,   , BEST,   0, 108S, 1405E,-999
SH, 21, 1953041512,   , BEST,   0, 108S, 1395E,-999
SH, 21, 1953041518,   , BEST,   0, 108S, 1386E,-999
